ID,percent
0,28.295350000000003
1,28.118899999999996
2,27.612650000000002
3,26.58119999999999
4,25.2685
5,25.069000000000003
6,24.854499999999994
7,24.7556
8,23.735699999999994
9,23.78415
10,23.4938
11,23.4073
12,23.30225
13,23.22425
14,22.9679
15,22.809799999999996
16,22.143850000000004
17,22.010650000000005
18,21.831449999999997
19,21.71305
20,21.639450000000004
21,21.505550000000007
22,21.354300000000002
23,21.162300000000005
24,20.486449999999998
25,20.4554
26,20.31345
27,20.195050000000002
28,20.111200000000004
29,20.03855
30,19.9138
31,19.799400000000002
32,19.017599999999998
33,18.8722
34,14.658
35,14.578
36,14.491
37,14.446
38,14.442
39,14.437
40,14.431
41,14.431
42,14.342
43,14.301
44,14.244
45,14.221
46,14.206
47,14.184
48,14.156
49,14.097
50,13.14
51,13.032
52,12.996
53,12.945
54,12.919
55,12.867
56,12.768
57,12.59
