ID,percent
0,28.581049999999998
1,28.390949999999997
2,27.8433
3,26.72595
4,25.4188
5,25.302699999999994
6,25.177450000000004
7,25.14375
8,23.722550000000005
9,23.6544
10,23.50255
11,23.310299999999998
12,22.954349999999998
13,22.309000000000005
14,21.34
15,20.468000000000004
16,18.307700000000004
17,18.3901
18,17.610449999999997
19,17.1931
20,16.56345
21,15.691500000000001
22,14.539850000000001
23,13.855399999999998
24,13.050999999999998
25,12.47195
26,12.053
27,11.93675
28,11.690199999999999
29,11.527549999999998
30,11.120000000000001
31,10.836
32,10.1707
33,10.044450000000001
34,9.6411
35,9.540400000000002
36,9.402550000000002
37,9.231650000000002
38,8.972350000000002
39,8.496699999999999
40,7.489199999999999
41,7.071749999999999
42,6.3988
43,6.069000000000001
44,6.0413999999999985
45,5.659650000000001
46,5.33865
47,4.995849999999999
48,4.4159999999999995
49,4.14565
50,3.85085
51,3.7271500000000004
52,3.6043
53,3.5735
54,3.4085499999999995
55,3.26185
56,2.86205
57,2.7463500000000005
58,2.5681999999999996
59,2.4793500000000006
60,2.3717499999999996
61,2.30505
62,2.22015
63,2.1177
64,1.8588999999999998
65,1.8359473684210528
66,1.734157894736842
67,1.6690526315789471
68,1.5964210526315787
69,1.6002777777777777
70,1.5125555555555557
71,1.4552777777777781
72,1.370529411764706
73,1.4386000000000003
74,1.3504666666666665
75,1.3024666666666664
76,1.2674285714285713
77,1.3745
78,1.31775
79,1.2235833333333332
80,1.1697272727272727
81,1.2122
82,1.0758999999999999
83,1.1007777777777779
84,1.0392222222222223
85,1.0683749999999999
86,0.941125
87,0.9727142857142858
88,0.8404285714285714
89,0.9136666666666665
90,0.8450000000000001
91,0.8748000000000001
92,0.8472
93,0.8211999999999999
94,0.7726
95,0.7266
96,0.76675
97,0.7177500000000001
98,0.657
99,1.054
100,1.0405
101,1.013
102,0.9890000000000001
103,0.92
104,0.871
105,1.199
106,0.934
107,0.596
