1,2,3,4
0.25,0.15,0.25,0.4
0.65,0.25,0.5,0.65
1.1,0.45,0.8,1.1
1.6,0.9,0.85,1.35
2.3,1.0,1.05,1.45
2.35,1.45,1.35,1.65
2.75,1.8,1.5,1.65
2.85,1.95,1.85,1.9
3.05,2.2,2.0,2.0
3.45,2.45,2.2,2.5
3.7,2.95,2.55,2.4
4.05,3.15,2.45,2.8
4.55,3.05,2.9,3.05
4.8,3.7,3.1,3.35
5.6,4.15,3.3,3.45
5.9,4.35,3.8,3.9
6.1,4.25,3.8,4.3
6.1,4.35,3.8,5.05
6.7,4.45,3.65,5.5
7.1,4.55,4.1,5.7
7.55,4.95,4.15,6.1
7.7,5.1,4.55,6.05
7.95,5.3,5.0,5.95
8.0,5.65,5.25,6.2
8.0,6.1,5.7,7.1
8.1,6.25,6.35,7.25
8.3,6.8,6.7,7.75
8.8,7.2,7.55,8.25
9.35,7.45,8.15,8.85
9.65,7.7,8.5,9.6
9.85,8.55,8.85,9.8
10.3,8.2,9.3,10.4
10.3,8.35,10.2,10.9
10.3,9.05,11.15,10.95
10.7,9.5,11.4,11.65
11.05,9.95,12.1,12.0
11.4,10.6,12.45,12.4
12.05,11.05,12.75,13.25
12.95,11.5,13.4,13.8
13.8,12.1,13.55,14.45
14.45,11.6,14.0,14.55
14.4,11.25,14.5,14.75
14.15,11.8,15.05,15.75
15.05,12.45,15.6,16.6
15.2,13.1,15.7,16.75
15.95,13.65,16.3,17.5
16.0,14.85,16.95,18.5
16.5,15.65,17.85,19.45
17.15,16.4,17.6,20.9
17.9,16.95,17.85,21.45
18.55,18.4,18.9,22.2
18.65,18.9,18.95,22.5
18.5,18.9,19.4,23.8
19.5,19.55,20.05,24.55
19.5,20.4,20.6,25.85
20.05,21.65,21.9,26.4
20.5,22.25,22.55,27.1
20.6,22.7,23.1,27.15
20.9,22.95,24.25,28.4
21.0,24.1,24.65,29.2
21.4,24.35,24.9,30.65
21.4,24.15,26.25,31.05
