0,10,20,30,40,50,60,70,75,80,85,90,95,100
36,38,38,36,36,36,36,54,36,83,77,83,89,80
36,36,36,36,36,38,36,65,36,57,108,170,136,76
36,36,36,38,38,39,76,81,121,54,81,164,102,67
36,36,36,36,36,36,70,81,36,83,117,103,54,125
36,39,36,36,36,36,36,72,72,84,58,153,103,100
36,36,38,36,36,38,36,118,56,92,54,54,128,73
36,36,36,36,36,36,81,56,56,56,69,94,120,84
36,38,38,36,36,38,38,56,54,111,150,56,187,54
36,36,36,36,36,36,54,65,36,81,54,145,156,102
36,36,36,36,38,63,54,81,56,38,92,83,160,82
36,36,38,36,36,36,54,84,54,74,79,170,103,93
38,38,36,36,38,36,36,54,81,81,72,120,110,83
36,36,38,36,36,36,39,81,75,63,162,130,134,95
36,36,36,36,36,36,54,83,86,45,140,54,114,73
36,36,45,39,36,38,90,38,54,47,112,99,122,81
36,36,36,36,38,36,38,56,38,117,127,128,83,85
40,39,36,38,36,54,40,36,63,81,63,146,160,114
36,36,36,36,36,38,36,54,85,56,72,142,147,117
36,38,36,41,36,36,38,36,84,75,133,127,100,86
36,36,36,36,65,36,54,54,72,80,83,143,133,96
